"Easy Catalog Images","Catálogo fácil de imágenes"
"General","General"
"Use category image, when thumbnail is not available","Utilizar la categoría de imagen, cuando el icono no está disponible"
"Background color","Color de fondo"
"Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black","Color en modo RGB. Ejemplo: <br/> 255255255 - blanco <br/> 0,0,0 - negro"
"Category page","Página de categoría"
"Enabled for default categories","Habilitado en categorías predeterminadas"
"Enabled for anchor categories","Habilitado para las categorías de anclaje"
"Number of categories to show","Número de categorías para mostrar"
"Columns count","Columnas que cuentan"
"Show images","Mostrar imágenes"
"Use image helper to resize images","Utilizar ayudante de imagen para cambiar el tamaño de las imágenes"
"Set Yes, to guarantee the equal sized images","Establezca Sí, para garantizar que las imágenes sean de igual tamaño"
"Image width","Ancho de la imagen"
"Image height","Altura de la imagen"
"Number of subcategories to show","Número de sub-categorías para mostrar"
