"Easy Catalog Images","Easy Catalog Immagini"
"General","Generale"
"Use category image, when thumbnail is not available","Usa immagine categoria, quando non è disponibile una thumbnail"
"Background color","Colore sfondo"
"Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black","Colore in modalità RGB. Esempio: <br/> 255,255,255 - bianco<br/>0,0,0 - nero"
"Category page","Pagina categoria"
"Enabled for default categories","Attivato per le categorie di default"
"Enabled for anchor categories","Attivato per le categorie anchor"
"Number of categories to show","Numero di categorie da visualizzare"
"Columns count","Totale colonne"
"Show images","Mostra immagini"
"Use image helper to resize images","Usa helper immagine per ridimensionare le immagini"
"Set Yes, to guarantee the equal sized images","Imposta su Si, per garantire un dimensionamento uguale delle immagini"
"Image width","Larghezza Immagine"
"Image height","Altezza Immagine"
"Number of subcategories to show","Numero di sub-categorie da mostrare"
